OHSAA.ID,2018_Full,2017_Full,2016_Full,2015_Full,2014_Full,2013_Full,2012_Full,2011_Full,2010_Full,2009_Full,2008_Full,2007_Full,2018_Main,2017_Main,2016_Main,2015_Main,2014_Main,2013_Main,2012_Main,2011_Main,2010_Main,2009_Main,2008_Main,2007_Main
1104,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
1340,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL,MIA VAL,IND,IND,UNKWN,UNKWN,UNKWN,UNKWN,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,IND,IND,UNKWN,UNKWN,UNKWN,UNKWN
1956,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
9272,MIA VAL - GRAY,MIA VAL - GRAY,SOPL - NAT,SOPL - NAT,IND,IND,IND,IND,IND,IND,IND,IND,MIA VAL,MIA VAL,SOPL,SOPL,IND,IND,IND,IND,IND,IND,IND,IND
368,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
369,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
1023,MIA VAL - SCAR,MIA VAL - SCAR,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,MIA VAL,MIA VAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL,OVAL
1134,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
1176,MIA VAL - SCAR,MIA VAL - SCAR,SBAAC - AMER,SBAAC - AMER,SBAAC - AMER,SBAAC - AMER,SBAAC - AMER,FAVC - SCAR,FAVC - SCAR,FAVC - SCAR,FAVC - SCAR,FAVC - SCAR,MIA VAL,MIA VAL,SBAAC,SBAAC,SBAAC,SBAAC,SBAAC,FAVC,FAVC,FAVC,FAVC,FAVC
1504,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL - SCAR,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
432,MID BUCK,MID BUCK,MID BUCK,MID BUCK,NORTH 10,N CENT,N CENT,N CENT,N CENT,N CENT,N CENT,N CENT,MID BUCK,MID BUCK,MID BUCK,MID BUCK,NORTH 10,N CENT,N CENT,N CENT,N CENT,N CENT,N CENT,N CENT
908,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,N CENT,N CENT,N CENT,N CENT,N CENT,N CENT,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,N CENT,N CENT,N CENT,N CENT,N CENT,N CENT
114,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
232,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
370,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
554,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
686,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
890,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST - BUCK,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
