"","Season","Week",""
"788",2017,2,0.1
"830",2017,2,0
"870",2017,2,0.24
"882",2017,2,0
"890",2017,2,0.03
"1000",2017,2,0.19
"1008",2017,2,0.2
"1068",2017,2,0
"1100",2017,2,0
"1252",2017,2,0.03
"1316",2017,2,0.1
"1344",2017,2,0.27
"1568",2017,2,0.36
"1584",2017,2,0.02
"1604",2017,2,0.02
"1676",2017,2,0
"1752",2017,2,0.47
"106",2017,2,0.07
"164",2017,2,0.01
"388",2017,2,0.66
"510",2017,2,0
"582",2017,2,0.51
"660",2017,2,0.06
"742",2017,2,0.05
"752",2017,2,0.35
"796",2017,2,0.54
"806",2017,2,0.01
"892",2017,2,0.06
"988",2017,2,0
"1002",2017,2,0.01
"1148",2017,2,0.01
"1168",2017,2,0.03
"1176",2017,2,0.1
"1190",2017,2,0.02
"1322",2017,2,0.09
"1414",2017,2,0.07
"1421",2017,2,0.05
"1518",2017,2,0.71
"1524",2017,2,0.03
"1578",2017,2,0.01
"1590",2017,2,0.72
"1626",2017,2,0.08
"1636",2017,2,0.11
"1744",2017,2,0.52
"170",2017,2,0
"202",2017,2,0.01
"226",2017,2,0.21
"282",2017,2,0
"340",2017,2,0.19
"354",2017,2,0.01
"366",2017,2,0
"436",2017,2,0.35
"440",2017,2,0.14
"519",2017,2,0.02
"560",2017,2,0.17
"630",2017,2,0.37
"642",2017,2,0.03
"662",2017,2,0.86
"818",2017,2,0.34
"936",2017,2,0.2
"1112",2017,2,0
"1170",2017,2,0.21
"1210",2017,2,0.14
"1364",2017,2,0.4
"1396",2017,2,0.49
"1460",2017,2,0.65
"1548",2017,2,0.13
"1558",2017,2,0.05
"1560",2017,2,0.02
"1706",2017,2,0.03
"134",2017,2,0.3
"290",2017,2,0
"426",2017,2,0.28
"508",2017,2,0.92
"518",2017,2,0.2
"534",2017,2,0.12
"606",2017,2,0.02
"614",2017,2,0
"636",2017,2,0.01
"746",2017,2,0.1
