"","Season","Week","0","1","2","3","4","5","6"
"890",2017,1,0.9,0.05,0.04,0,0.01,0,0
"1000",2017,1,0.68,0.21,0.08,0,0.03,0,0
"1008",2017,1,0.64,0.25,0.07,0.01,0.03,0,0
"1068",2017,1,0.93,0.06,0.01,0,0,0,0
"1100",2017,1,0.93,0.02,0.01,0.02,0.01,0,0.01
"1252",2017,1,0.11,0.24,0.28,0.16,0.19,0.02,0
"1316",2017,1,0.99,0.01,0,0,0,0,0
"1344",2017,1,0.44,0.24,0.18,0.07,0.06,0,0.01
"1568",2017,1,0.58,0.31,0.08,0.02,0,0.01,0
"1584",2017,1,0.97,0.03,0,0,0,0,0
"1604",2017,1,0.75,0.2,0.01,0.02,0.02,0,0
"1676",2017,1,0.93,0.07,0,0,0,0,0
"1752",2017,1,0.31,0.48,0.15,0.03,0.02,0.01,0
"106",2017,1,0.85,0.13,0.02,0,0,0,0
"164",2017,1,1,0,0,0,0,0,0
"388",2017,1,0.02,0.22,0.34,0.21,0.09,0.08,0.04
"510",2017,1,0.98,0.01,0,0,0,0.01,0
"582",2017,1,0.38,0.27,0.19,0.12,0.02,0.02,0
"660",2017,1,0.98,0.02,0,0,0,0,0
"742",2017,1,0.94,0.06,0,0,0,0,0
"752",2017,1,0.56,0.34,0.08,0.02,0,0,0
"796",2017,1,0.03,0.21,0.36,0.22,0.08,0.04,0.06
"806",2017,1,0.93,0.05,0.02,0,0,0,0
"892",2017,1,0.97,0.03,0,0,0,0,0
"988",2017,1,0.96,0.04,0,0,0,0,0
"1002",2017,1,0.98,0.02,0,0,0,0,0
"1148",2017,1,0.99,0.01,0,0,0,0,0
"1168",2017,1,1,0,0,0,0,0,0
"1176",2017,1,0.52,0.37,0.08,0.02,0.01,0,0
"1190",2017,1,0.77,0.16,0.05,0.01,0,0,0.01
"1322",2017,1,0.93,0.06,0.01,0,0,0,0
"1414",2017,1,0.63,0.29,0.05,0.02,0,0.01,0
"1421",2017,1,0.95,0.04,0.01,0,0,0,0
"1518",2017,1,0.65,0.2,0.09,0.02,0.02,0,0.02
"1524",2017,1,0.94,0.06,0,0,0,0,0
"1578",2017,1,0.97,0.03,0,0,0,0,0
"1590",2017,1,0.01,0.12,0.25,0.22,0.1,0.1,0.2
"1626",2017,1,0.81,0.15,0.03,0,0,0.01,0
"1636",2017,1,0.04,0.61,0.25,0.05,0.03,0.01,0.01
"1744",2017,1,0.21,0.5,0.17,0.09,0.01,0.01,0.01
"170",2017,1,0.94,0.04,0.01,0.01,0,0,0
"202",2017,1,0.99,0,0.01,0,0,0,0
"226",2017,1,0.38,0.34,0.18,0.08,0.01,0,0.01
"282",2017,1,0.99,0.01,0,0,0,0,0
"340",2017,1,0.42,0.04,0.16,0.1,0.12,0.09,0.07
"354",2017,1,0.97,0.03,0,0,0,0,0
"366",2017,1,0.84,0.07,0.04,0.03,0.01,0.01,0
"436",2017,1,0.97,0.02,0,0,0.01,0,0
"440",2017,1,0.3,0.4,0.15,0.08,0.06,0,0.01
"519",2017,1,0.79,0.14,0.05,0.02,0,0,0
"560",2017,1,0.73,0.12,0.08,0.05,0.02,0,0
"630",2017,1,0.26,0.48,0.19,0.04,0.02,0,0.01
"642",2017,1,0.77,0.13,0.05,0.01,0.02,0.02,0
"662",2017,1,0.22,0.55,0.14,0.04,0.04,0,0.01
"818",2017,1,0.65,0.14,0.12,0.08,0,0.01,0
"936",2017,1,0.61,0.24,0.07,0.06,0.01,0.01,0
"1112",2017,1,1,0,0,0,0,0,0
"1170",2017,1,0.66,0.15,0.1,0.05,0.04,0,0
"1210",2017,1,0.91,0.05,0.02,0.01,0.01,0,0
"1364",2017,1,0.41,0.19,0.17,0.1,0.1,0.02,0.01
"1396",2017,1,0.64,0.21,0.08,0.04,0.02,0,0.01
"1460",2017,1,0.43,0.22,0.16,0.08,0.1,0,0.01
"1548",2017,1,0.71,0.14,0.07,0.05,0.03,0,0
"1558",2017,1,0.99,0,0,0.01,0,0,0
"1560",2017,1,0.79,0.11,0.04,0.02,0.03,0,0.01
"1706",2017,1,0.63,0.18,0.11,0.04,0.02,0.02,0
"134",2017,1,0.81,0.17,0.01,0.01,0,0,0
"290",2017,1,0.99,0.01,0,0,0,0,0
"426",2017,1,0.6,0.21,0.14,0.01,0.01,0.01,0.02
"508",2017,1,0.01,0.15,0.2,0.21,0.11,0.11,0.21
"518",2017,1,0.14,0.25,0.31,0.21,0.02,0.01,0.06
"534",2017,1,0.72,0.17,0.09,0.02,0,0,0
"606",2017,1,0.98,0.01,0.01,0,0,0,0
"614",2017,1,0.93,0.04,0.03,0,0,0,0
"636",2017,1,0.64,0.3,0.05,0,0.01,0,0
"746",2017,1,0.78,0.14,0.06,0.02,0,0,0
"754",2017,1,0.36,0.33,0.14,0.11,0.01,0.01,0.04
"820",2017,1,0.88,0.12,0,0,0,0,0
"864",2017,1,0.7,0.19,0.09,0.01,0.01,0,0
"1072",2017,1,1,0,0,0,0,0,0
"1156",2017,1,0.65,0.25,0.05,0.04,0,0.01,0
"1172",2017,1,0.85,0.13,0.01,0.01,0,0,0
"1184",2017,1,0.72,0.17,0.07,0.02,0.01,0,0.01
"1212",2017,1,0.74,0.21,0.03,0.02,0,0,0
"1214",2017,1,0.15,0.15,0.23,0.19,0.07,0.07,0.14
"1236",2017,1,1,0,0,0,0,0,0
"1260",2017,1,0.72,0.22,0.05,0.01,0,0,0
"1300",2017,1,0.92,0.08,0,0,0,0,0
"1332",2017,1,0.81,0.14,0.05,0,0,0,0
"1506",2017,1,0.11,0.37,0.36,0.11,0.03,0.02,0
"1592",2017,1,0.79,0.19,0.02,0,0,0,0
"1710",2017,1,1,0,0,0,0,0,0
"108",2017,1,0.98,0.02,0,0,0,0,0
